state,market,commodity,arrival_date,variety,arrivals_mt,min_price,max_price,modal_price
Maharashtra,AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD,Onion,2026-02-01,Red,687.1,600.0,1226.0,970.0
Maharashtra,Akluj APMC,Onion,2026-02-01,Red,43.0,200.0,1600.0,900.0
Maharashtra,Akole APMC,Onion,2026-02-01,Other,37.5,100.0,1425.0,762.0
Maharashtra,Amrawati(Frui & Veg. Market) APMC,Onion,2026-02-01,Red,42.0,800.0,2700.0,1750.0
Maharashtra,Bhusaval APMC,Onion,2026-02-01,Red,4.9,1000.0,1600.0,1200.0
Maharashtra,Chattrapati Sambhajinagar APMC,Onion,2026-02-01,Other,451.5,400.0,1200.0,800.0
Maharashtra,Junnar(Alephata) APMC,Onion,2026-02-01,Other,1241.5,1000.0,1800.0,1300.0
Maharashtra,Junnar(Narayangaon) APMC,Onion,2026-02-01,Other,3.8,300.0,1600.0,900.0
Maharashtra,Junnar(Otur) APMC,Onion,2026-02-01,Red,733.8,500.0,1700.0,1100.0
Maharashtra,Kalyan APMC,Onion,2026-02-01,1st Sort,0.3,1600.0,1800.0,1700.0
Maharashtra,Kalyan APMC,Onion,2026-02-01,2nd Sort,0.3,800.0,1000.0,900.0
Maharashtra,Kamthi APMC,Onion,2026-02-01,Local,1.6,2060.0,2560.0,2310.0
Maharashtra,Manchar APMC,Onion,2026-02-01,Other,1442.4,1400.0,1650.0,1525.0
Maharashtra,Mangal Wedha APMC,Onion,2026-02-01,Local,3.1,100.0,1500.0,1100.0
Maharashtra,Nagpur APMC,Onion,2026-02-01,Red,124.0,1200.0,1600.0,1500.0
Maharashtra,Nagpur APMC,Onion,2026-02-01,White,100.0,1600.0,2200.0,2050.0
Maharashtra,"Omchatinya Multi State Agro Purpose Co-Op Society, Dist Ahilyanagar",Onion,2026-02-01,Red,356.32,100.0,1400.0,900.0
Maharashtra,Parner APMC,Onion,2026-02-01,Red,290.0,200.0,1600.0,1100.0
Maharashtra,Pathardi APMC,Onion,2026-02-01,Red,202.7,100.0,1600.0,900.0
Maharashtra,Pune APMC,Onion,2026-02-01,Local,1965.8,400.0,1600.0,1000.0
Maharashtra,Pune(Khadiki) APMC,Onion,2026-02-01,Local,0.5,800.0,1100.0,950.0
Maharashtra,Pune(Manjri) APMC,Onion,2026-02-01,Local,10.9,400.0,1300.0,900.0
Maharashtra,Pune(Moshi) APMC,Onion,2026-02-01,Local,88.7,500.0,1500.0,1000.0
Maharashtra,Pune(Pimpri) APMC,Onion,2026-02-01,Local,1.3,1200.0,1600.0,1400.0
Maharashtra,Rahata APMC,Onion,2026-02-01,Other,286.8,400.0,1550.0,1100.0
Maharashtra,Rahuri APMC,Onion,2026-02-01,Other,506.7,100.0,1300.0,700.0
Maharashtra,Ramtek APMC,Onion,2026-02-01,Other,5.0,1100.0,1500.0,1300.0
Maharashtra,Satara APMC,Onion,2026-02-01,Other,33.0,1000.0,2000.0,1500.0
Maharashtra,Shrigonda APMC,Onion,2026-02-01,Other,112.8,300.0,1200.0,1000.0
Maharashtra,Vaduj APMC,Onion,2026-02-01,Local,5.0,1000.0,2000.0,1500.0
Maharashtra,Vai APMC,Onion,2026-02-01,Local,2.0,1000.0,2000.0,1500.0
Maharashtra,AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD,Onion,2026-02-02,Red,1599.3,552.0,1262.0,980.0
Maharashtra,Akola APMC,Onion,2026-02-02,Other,95.5,600.0,1700.0,1200.0
Maharashtra,Amrawati(Frui & Veg. Market) APMC,Onion,2026-02-02,Red,45.0,700.0,2800.0,1750.0
Maharashtra,Chattrapati Sambhajinagar APMC,Onion,2026-02-02,Other,223.1,500.0,1400.0,950.0
Maharashtra,Devala APMC,Onion,2026-02-02,Red,839.2,150.0,1300.0,1075.0
Maharashtra,HINGNA - APMC,Onion,2026-02-02,Red,2.2,1200.0,2200.0,1816.0
Maharashtra,Jalgaon APMC,Onion,2026-02-02,Red,294.6,375.0,1212.0,800.0
Maharashtra,Junnar(Narayangaon) APMC,Onion,2026-02-02,Other,6.0,300.0,1500.0,850.0
Maharashtra,Kalvan APMC,Onion,2026-02-02,Red,535.0,400.0,1395.0,1050.0
Maharashtra,Kalyan APMC,Onion,2026-02-02,1st Sort,0.3,1400.0,1500.0,1450.0
Maharashtra,Kalyan APMC,Onion,2026-02-02,2nd Sort,0.3,1200.0,1300.0,1250.0
Maharashtra,Karad APMC,Onion,2026-02-02,Other,15.0,500.0,1300.0,1300.0
Maharashtra,Kolhapur APMC,Onion,2026-02-02,Other,647.5,500.0,1600.0,1200.0
Maharashtra,Kopargaon APMC,Onion,2026-02-02,Red,265.6,400.0,1200.0,950.0
Maharashtra,Kurdwadi(Modnimb) APMC,Onion,2026-02-02,Red,86.4,151.0,1253.0,850.0
Maharashtra,Lasalgaon APMC,Onion,2026-02-02,Red,2993.2,500.0,1480.0,1150.0
Maharashtra,Lasalgaon(Niphad) APMC,Onion,2026-02-02,Red,544.0,500.0,1200.0,1100.0
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,2026-02-02,Red,1992.4,500.0,1280.0,1100.0
Maharashtra,Lasur Station APMC,Onion,2026-02-02,Other,560.0,150.0,1176.0,675.0
Maharashtra,"Laxmi-Sopan Agriculture Produce Marketing Co Ltd, Barshi, Dist Solapur",Onion,2026-02-02,Other,1176.1,500.0,1500.0,1100.0
Maharashtra,Lonand APMC,Onion,2026-02-02,Other,375.0,400.0,1400.0,950.0
Maharashtra,Mangal Wedha APMC,Onion,2026-02-02,Local,33.8,100.0,1500.0,950.0
Maharashtra,Manmad APMC,Onion,2026-02-02,Red,1761.4,200.0,1307.0,1000.0
Maharashtra,Mumbai-Onion & Potato Market APMC,Onion,2026-02-02,Other,1689.3,800.0,1800.0,1300.0
Maharashtra,Nagpur APMC,Onion,2026-02-02,Red,200.0,1200.0,1500.0,1425.0
Maharashtra,Nagpur APMC,Onion,2026-02-02,White,150.0,1500.0,2000.0,1875.0
